	PC	ES1	EC	ES2	C	ES3
ppt_188452	0	0	0	0	204.1060089	0
ppt_252121	0	0	0	0	203.8385524	0
ppt_183904	0	0	0	0	203.7553784	0
ppt_164536	0	0	0	0	203.687	0
ppt_161637	0	0	0	0	203.1634217	0
ppt_111467	0	0	0	0	203.0467654	0
ppt_246380	0	0	0	0	202.9682049	0
ppt_83148	0	0	0	0	202.6025959	0
ppt_79362	0	0	0	0	202.304954	0
ppt_126797	0	0	0	0	202.2517935	0
ppt_224458	0	0	0	0	202.1273517	0
ppt_49227	0	0	0	0	202.1113035	0
ppt_218588	0	0	0	0	201.8100586	0
ppt_166505	0	0	0	0	201.2692915	0
ppt_196402	0	0	0	0	201.1677881	0
ppt_255021	0	0	0	0	200.9756165	0
ppt_256835	0	0	0	0	200.4938707	0
ppt_256182	0	0	0	0	200.3896964	0
ppt_200947	0	0	0	0	199.8205232	0
ppt_151852	0	0	0	0	199.8128665	0
ppt_132780	0	0	0	0	199.5689029	0
ppt_151430	0	0	0	0	199.4997818	0
ppt_139254	0	0	0	0	199.2982104	0
ppt_245737	0	0	0	0	199.1996596	0
ppt_41330	0	0	0	0	198.3870633	0
ppt_185127	0	0	0	0	198.2647166	0
ppt_63934	0	0	0	0	198.0550366	0
ppt_202644	0	0	0	0	198.0522916	0
ppt_75094	0	0	0	0	197.8657064	0
ppt_147176	0	0	0	0	197.7668571	0
ppt_151431	0	0	0	0	197.7630869	0
ppt_90957	0	0	0	0	197.7258179	0
ppt_226388	0	0	0	0	197.6030414	0
ppt_37420	0	0	0	0	197.4096235	0
ppt_232209	0	0	0	0	197.092986	0
ppt_202011	0	0	0	0	196.6500572	0
ppt_60335	0	0	0	0	196.6301329	0
ppt_129719	0	0	0	0	195.8493733	0
ppt_132238	0	0	0	0	195.133965	0
ppt_206636	0	0	0	0	195.0460522	0
ppt_173625	0	0	0	0	194.7148574	0
ppt_66924	0	0	0	0	194.6850419	0
ppt_130510	0	0	0	0	194.6766868	0
ppt_145665	0	0	0	0	194.6535818	0
ppt_202009	0	0	0	0	194.5619633	0
ppt_81882	0	0	0	0	194.5587681	0
ppt_80311	0	0	0	0	194.411987	0
ppt_82835	0	0	0	0	194.0807291	0
ppt_63330	0	0	0	0	193.8817438	0
ppt_45861	0	0	0	0	193.7643741	0
ppt_173958	0	0	0	0	193.7530677	0
ppt_202250	0	0	0	0	193.6995082	0
ppt_37136	0	0	0	0	193.6277981	0
ppt_236411	0	0	0	0	193.336237	0
ppt_132302	0	0	0	0	192.9402018	0
ppt_210102	0	0	0	0	192.924005	0
ppt_254619	0	0	0	0	192.7576985	0
ppt_66846	0	0	0	0	192.1463191	0
ppt_244389	0	0	0	0	191.7877185	0
ppt_45859	0	0	0	0	191.7083437	0
ppt_218063	0	0	0	0	191.648574	0
ppt_78989	0	0	0	0	191.6417859	0
ppt_247152	0	0	0	0	191.4923597	0
ppt_74434	0	0	0	0	191.4012452	0
ppt_116837	0	0	0	0	191.0299846	0
ppt_100326	0	0	0	0	191.0065652	0
ppt_253741	0	0	0	0	190.4052223	0
ppt_154551	0	0	0	0	190.369359	0
ppt_130558	0	0	0	0	190.1855127	0
ppt_75276	0	0	0	0	189.9414808	0
ppt_121606	0	0	0	0	189.8210909	0
ppt_165696	0	0	0	0	189.7242954	0
ppt_253266	0	0	0	0	189.5434665	0
ppt_232570	0	0	0	0	189.1241878	0
ppt_60958	0	0	0	0	188.8978883	0
ppt_45858	0	0	0	0	188.6667601	0
ppt_171783	0	0	0	0	188.5426663	0
ppt_241946	0	0	0	0	188.2857021	0
ppt_255822	0	0	0	0	188.241344	0
ppt_153335	0	0	0	0	187.9778025	0
ppt_220708	0	0	0	0	187.9575559	0
ppt_196066	0	0	0	0	187.9334197	0
ppt_267531	0	0	0	0	187.5674977	0
ppt_154553	0	0	0	0	187.5166327	0
ppt_101287	0	0	0	0	187.4721759	0
ppt_120523	0	0	0	0	187.1555437	0
ppt_114739	0	0	0	0	186.88467	0
ppt_33577	0	0	0	0	186.7029827	0
ppt_206197	0	0	0	0	186.6608218	0
ppt_114711	0	0	0	0	186.6344726	0
ppt_125706	0	0	0	0	186.4308212	0
ppt_221031	0	0	0	0	186.382211	0
ppt_93434	0	0	0	0	186.3586866	0
ppt_52221	0	0	0	0	186.2138165	0
ppt_75285	0	0	0	0	186.0437429	0
ppt_161526	0	0	0	0	186.0353646	0
ppt_126785	0	0	0	0	185.8827809	0
ppt_104317	0	0	0	0	185.8565389	0
ppt_177196	0	0	0	0	185.5574854	0
ppt_51989	0	0	0	0	185.4627316	0
ppt_251009	0	0	0	0	185.4600126	0
ppt_242390	0	0	0	0	184.4052545	0
ppt_253736	0	0	0	0	184.4012592	0
ppt_62894	0	0	0	0	184.3835263	0
ppt_113186	0	0	0	0	184.0728523	0
ppt_126798	0	0	0	0	183.789763	0
ppt_126452	0	0	0	0	183.5391316	0
ppt_206831	0	0	0	0	183.2483987	0
ppt_71717	0	0	0	0	183.1030093	0
ppt_204689	0	0	0	0	182.9242862	0
ppt_217233	0	0	0	0	182.7510276	0
ppt_201166	0	0	0	0	182.6753031	0
ppt_242329	0	0	0	0	182.5897054	0
ppt_93983	0	0	0	0	182.4984872	0
ppt_58840	0	0	0	0	182.4671396	0
ppt_56946	0	0	0	0	182.4468568	0
ppt_119768	0	0	0	0	182.1907012	0
ppt_121525	0	0	0	0	181.9381979	0
ppt_121531	0	0	0	0	181.7222822	0
ppt_179869	0	0	0	0	181.6069251	0
ppt_263530	0	0	0	0	181.40353	0
ppt_138117	0	0	0	0	180.9436841	0
ppt_177023	0	0	0	0	180.7085847	0
ppt_120860	0	0	0	0	179.978166	0
ppt_225414	0	0	0	0	179.8535686	0
ppt_53099	0	0	0	0	179.3654968	0
ppt_254261	0	0	0	0	179.2092417	0
ppt_90260	0	0	0	0	178.7587809	0
ppt_133834	0	0	0	0	178.4614547	0
ppt_42974	0	0	0	0	178.3468703	0
ppt_126451	0	0	0	0	178.3364291	0
ppt_195236	0	0	0	0	178.1088067	0
ppt_163007	0	0	0	0	178.0595811	0
ppt_155175	0	0	0	0	178.0093627	0
ppt_76064	0	0	0	0	177.9470353	0
ppt_236714	0	0	0	0	177.8037052	0
ppt_191965	0	0	0	0	177.7689974	0
ppt_220432	0	0	0	0	177.7560806	0
ppt_224711	0	0	0	0	177.5470181	0
ppt_47734	0	0	0	0	177.4841568	0
ppt_267528	0	0	0	0	177.4020327	0
ppt_38426	0	0	0	0	177.3976033	0
ppt_102210	0	0	0	0	177.144953	0
ppt_241548	0	0	0	0	176.9810335	0
ppt_187960	0	0	0	0	176.0656943	0
ppt_206638	0	0	0	0	176.044642	0
ppt_142587	0	0	0	0	175.8712715	0
ppt_85746	0	0	0	0	175.8700814	0
ppt_78043	0	0	0	0	175.6081877	0
ppt_58810	0	0	0	0	175.5360034	0
ppt_212201	0	0	0	0	175.3217811	0
ppt_51932	0	0	0	0	175.1434451	0
ppt_113332	0	0	0	0	175.0222169	0
ppt_48922	0	0	0	0	175.0065123	0
ppt_107544	0	0	0	0	174.9430766	0
ppt_120546	0	0	0	0	174.8727201	0
ppt_239663	0	0	0	0	174.7584176	0
ppt_202000	0	0	0	0	174.7544449	0
ppt_42973	0	0	0	0	174.6562884	0
ppt_97611	0	0	0	0	174.569281	0
ppt_42290	0	0	0	0	174.3088193	0
ppt_80354	0	0	0	0	173.969133	0
ppt_126933	0	0	0	0	173.9543674	0
ppt_126935	0	0	0	0	173.9423106	0
ppt_251967	0	0	0	0	173.5115271	0
ppt_170005	0	0	0	0	173.5003662	0
ppt_255844	0	0	0	0	173.1065097	0
ppt_79353	0	0	0	0	172.9649901	0
ppt_193581	0	0	0	0	172.8869367	0
ppt_158318	0	0	0	0	172.7942049	0
ppt_78988	0	0	0	0	172.7837001	0
ppt_144437	0	0	0	0	172.7471402	0
ppt_223782	0	0	0	0	172.6507987	0
ppt_196482	0	0	0	0	172.5499999	0
ppt_120401	0	0	0	0	172.535666	0
ppt_132303	0	0	0	0	172.4357643	0
ppt_251000	0	0	0	0	172.2979333	0
ppt_284792	0	0	0	0	171.7536096	0
ppt_213117	0	0	0	0	171.6679646	0
ppt_62840	0	0	0	0	171.1105049	0
ppt_257566	0	0	0	0	171.0282101	0
